,ProteinFoldChange,PValue,AdjPValue,Significant
FBXO42,-0.002996289345311709,0.9757052495817955,0.9961388673740844,False
SCYL2,-0.4118787837339539,0.17589095068799182,0.7613501152595638,False
TTC27,0.0275935745710143,0.8572083806098416,0.9849296200170881,False
SFXN4,0.032180881341837164,0.7548017150969295,0.9737735160683184,False
CASC4,-0.1744891042843868,0.3207895708226146,0.8637329012289565,False
CNNM4,0.02006873161492706,0.8715279363542379,0.9864997068182194,False
NFRKB,-0.017984233277879014,0.8577374583861623,0.9850279599337605,False
FAHD1,-0.07854101326567076,0.49178263131698835,0.9186517750117713,False
ALKBH5,-0.40211720955577945,0.05387023382965882,0.5276245183670369,False
PDXDC1,0.09501736895261814,0.24766117404177898,0.8273351377053714,False
TLDC1,-0.27224476219755545,0.10499256973072361,0.6540437427078475,False
INTS5,0.06476687165139339,0.7608997439642388,0.9747728847731245,False
LRRC8B,0.10858268072041,0.3577038722794917,0.8676073108938235,False
RSBN1L,0.5956321177676536,0.00792612943936023,0.25614057963278447,False
ABHD17C,0.020342005761534665,0.8003999285104195,0.9768683851080251,False
SLC27A1,-0.16897597824834065,0.47885705858602434,0.912480062777929,False
PGM2L1,0.0228135203294606,0.7810855725014396,0.9757676912534892,False
CTR9,0.1626741115252628,0.1590245054624497,0.750716157098671,False
