ensp,gene
ENSP00000304669,CTNNA1
ENSP00000304895,IRS1
ENSP00000304898,MFF
ENSP00000305069,TMEM192
ENSP00000305161,TRIM56
ENSP00000305193,HS1BP3
ENSP00000305298,RTKN
ENSP00000305422,CEBPB
ENSP00000305556,PCBP1
ENSP00000305647,VAMP5
ENSP00000305689,AFF1
ENSP00000305699,HOOK3
ENSP00000305839,GPRIN1
ENSP00000305843,FEZ2
ENSP00000305918,BRD3
ENSP00000305958,STIP1
ENSP00000305976,SIK2
ENSP00000306050,SPNS1
ENSP00000306330,YWHAG
ENSP00000306822,AVEN
ENSP00000306881,SEC23A
ENSP00000306983,YEATS2
ENSP00000307181,RAMAC
ENSP00000307240,KRT74
ENSP00000307265,IRF2BP1
ENSP00000307288,MCM7
ENSP00000307705,H1-4
ENSP00000307939,GCC2
ENSP00000307940,EEF2
ENSP00000308179,WDR3
ENSP00000308369,LEMD3
ENSP00000308413,RPS6KB2
ENSP00000308439,SNAPC5
ENSP00000308532,DBN1
ENSP00000308546,MEPCE
ENSP00000308548,ZNHIT2
ENSP00000308727,SUSD5
ENSP00000308862,ARID5B
ENSP00000309031,VCPIP1
ENSP00000309142,PDE12
ENSP00000309186,SH3RF3
ENSP00000309222,AKNA
ENSP00000309302,KDM2A
ENSP00000309428,AKT2
ENSP00000309432,RETREG3
ENSP00000309474,PSMD1
ENSP00000309539,DPYSL2
ENSP00000309582,GAPVD1
ENSP00000309597,MAP3K11
ENSP00000309606,ZNF408
ENSP00000309689,LRCH4
ENSP00000309690,DMXL1
ENSP00000309790,MIS18BP1
ENSP00000309794,TBC1D16
ENSP00000309968,ADAM17
ENSP00000310042,ZNF622
ENSP00000310088,PTMS
ENSP00000310129,PSMD2
ENSP00000310169,MACROH2A1
ENSP00000310170,FOSL1
ENSP00000310189,MOB1B
ENSP00000310338,RESF1
ENSP00000310406,RIN1
ENSP00000310448,SART1
ENSP00000310453,FNIP1
ENSP00000310491,ARHGAP1
ENSP00000310573,KRT25
ENSP00000310668,NUP93
ENSP00000310723,DDX23
ENSP00000310827,DAB2IP
ENSP00000310842,FANCI
ENSP00000311026,OXR1
ENSP00000311106,WAC
ENSP00000311186,ATP2A2
ENSP00000311360,RAD9A
ENSP00000311419,RAPGEF6
ENSP00000311427,SNX33
ENSP00000311430,RPL4
ENSP00000311449,RAB6A
ENSP00000311537,THAP3
ENSP00000311677,PPP1R8
ENSP00000311713,OXSR1
ENSP00000311747,RBM14
ENSP00000311827,MSL2
ENSP00000311949,DCAF6
ENSP00000312070,PCDHGC3
ENSP00000312081,SSH3
ENSP00000312262,GRK2
ENSP00000312463,CAMSAP1
ENSP00000312535,LRFN4
ENSP00000312625,HP1BP3
ENSP00000312834,MLXIP
ENSP00000313327,HNRNPD
ENSP00000313350,RNASEH1
ENSP00000313410,NSD3
ENSP00000313420,PRKDC
ENSP00000313422,ARL6IP4
ENSP00000313569,GPS1
ENSP00000313601,CC2D1A
ENSP00000313624,SENP7
ENSP00000313699,HEPHL1
ENSP00000313829,KHDRBS1
ENSP00000314004,ANAPC2
ENSP00000314029,SENP3
